Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),794,3525,4319,Meisi,MMR002007
 Associate Scrutiny Card (blue),1,1,2,Meisi,MMR002007
 Naturalised Scrutiny Card (green),-,2,2,Meisi,MMR002007
 National Registration Card (3-fold),2,9,11,Meisi,MMR002007
 Religious card,11,14,25,Meisi,MMR002007
 Foreign Registration Card (FRC),-,2,2,Meisi,MMR002007
 Foreign Passport,-,3,3,Meisi,MMR002007
 None,42,416,458,Meisi,MMR002007
 Child under 10 years,163,1334,1497,Meisi,MMR002007
 Total,1013,5306,6319,Meisi,MMR002007
