Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),7508,16106,23614,Mindat,MMR004006
 Associate Scrutiny Card (blue),1,1,2,Mindat,MMR004006
 Naturalised Scrutiny Card (green),-,27,27,Mindat,MMR004006
 National Registration Card (3-fold),14,179,193,Mindat,MMR004006
 Religious card,27,51,78,Mindat,MMR004006
 Temporary Registration Card (white),-,11,11,Mindat,MMR004006
 Foreign Registration Card (FRC),1,-,1,Mindat,MMR004006
 Foreign Passport,-,11,11,Mindat,MMR004006
 None,1183,4604,5787,Mindat,MMR004006
 Child under 10 years,2771,10105,12876,Mindat,MMR004006
 Total,11505,31095,42600,Mindat,MMR004006
