Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),6486,8093,14579,Minelar,MMR016005
 Associate Scrutiny Card (blue),9,15,24,Minelar,MMR016005
 Naturalised Scrutiny Card (green),23,8,31,Minelar,MMR016005
 National Registration Card (3-fold),311,17,328,Minelar,MMR016005
 Religious card,10,6,16,Minelar,MMR016005
 Temporary Registration Card (white),426,107,533,Minelar,MMR016005
 Foreign Registration Card (FRC),557,29,586,Minelar,MMR016005
 Foreign Passport,5319,2474,7793,Minelar,MMR016005
 None,5586,7582,13168,Minelar,MMR016005
 Child under 10 years,1726,4284,6010,Minelar,MMR016005
 Total,20453,22615,43068,Minelar,MMR016005
