Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),1500,10840,12340,Minelon(ST),MMR015012
 Associate Scrutiny Card (blue),2,7,9,Minelon(ST),MMR015012
 Naturalised Scrutiny Card (green),20,25,45,Minelon(ST),MMR015012
 National Registration Card (3-fold),37,477,514,Minelon(ST),MMR015012
 Religious card,10,110,120,Minelon(ST),MMR015012
 Temporary Registration Card (white),7,25,32,Minelon(ST),MMR015012
 Foreign Registration Card (FRC),-,3,3,Minelon(ST),MMR015012
 Foreign Passport,1,15,16,Minelon(ST),MMR015012
 None,318,6673,6991,Minelon(ST),MMR015012
 Child under 10 years,453,5125,5578,Minelon(ST),MMR015012
 Total,2348,23300,25648,Minelon(ST),MMR015012
