Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),337,630,967,Minemaw,MMR015008
 Associate Scrutiny Card (blue),67,36,103,Minemaw,MMR015008
 Naturalised Scrutiny Card (green),53,25,78,Minemaw,MMR015008
 National Registration Card (3-fold),2,3,5,Minemaw,MMR015008
 Religious card,2,-,2,Minemaw,MMR015008
 Temporary Registration Card (white),60,14,74,Minemaw,MMR015008
 Foreign Registration Card (FRC),10,-,10,Minemaw,MMR015008
 Foreign Passport,17,42,59,Minemaw,MMR015008
 None,3699,47243,50942,Minemaw,MMR015008
 Child under 10 years,1408,17035,18443,Minemaw,MMR015008
 Total,5655,65028,70683,Minemaw,MMR015008
