Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),5866,27017,32883,Minesat,MMR016006
 Associate Scrutiny Card (blue),1,59,60,Minesat,MMR016006
 Naturalised Scrutiny Card (green),14,22,36,Minesat,MMR016006
 National Registration Card (3-fold),28,47,75,Minesat,MMR016006
 Religious card,37,65,102,Minesat,MMR016006
 Temporary Registration Card (white),21,545,566,Minesat,MMR016006
 Foreign Registration Card (FRC),1,3,4,Minesat,MMR016006
 Foreign Passport,-,9,9,Minesat,MMR016006
 None,716,28436,29152,Minesat,MMR016006
 Child under 10 years,1320,22346,23666,Minesat,MMR016006
 Total,8004,78549,86553,Minesat,MMR016006
