Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),8592,83868,92460,Minhla,MMR009013
 Associate Scrutiny Card (blue),12,26,38,Minhla,MMR009013
 Naturalised Scrutiny Card (green),12,149,161,Minhla,MMR009013
 National Registration Card (3-fold),113,723,836,Minhla,MMR009013
 Religious card,38,362,400,Minhla,MMR009013
 Temporary Registration Card (white),6,164,170,Minhla,MMR009013
 Foreign Registration Card (FRC),24,-,24,Minhla,MMR009013
 Foreign Passport,2,33,35,Minhla,MMR009013
 None,1824,27210,29034,Minhla,MMR009013
 Child under 10 years,1887,21037,22924,Minhla,MMR009013
 Total,12510,133572,146082,Minhla,MMR009013
