Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),1518,1461,2979,Monekoe(ST),MMR015009
 Associate Scrutiny Card (blue),7,7,14,Monekoe(ST),MMR015009
 Naturalised Scrutiny Card (green),304,615,919,Monekoe(ST),MMR015009
 National Registration Card (3-fold),1275,2407,3682,Monekoe(ST),MMR015009
 Religious card,13,22,35,Monekoe(ST),MMR015009
 Temporary Registration Card (white),1154,2010,3164,Monekoe(ST),MMR015009
 Foreign Registration Card (FRC),3,29,32,Monekoe(ST),MMR015009
 Foreign Passport,6,12,18,Monekoe(ST),MMR015009
 None,2556,5667,8223,Monekoe(ST),MMR015009
 Child under 10 years,2011,3488,5499,Monekoe(ST),MMR015009
 Total,8847,15718,24565,Monekoe(ST),MMR015009
