Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),6171,60826,66997,Monyo,MMR008013
 Associate Scrutiny Card (blue),2,35,37,Monyo,MMR008013
 Naturalised Scrutiny Card (green),30,238,268,Monyo,MMR008013
 National Registration Card (3-fold),44,886,930,Monyo,MMR008013
 Religious card,67,260,327,Monyo,MMR008013
 Temporary Registration Card (white),11,76,87,Monyo,MMR008013
 Foreign Registration Card (FRC),20,7,27,Monyo,MMR008013
 Foreign Passport,1,8,9,Monyo,MMR008013
 None,1661,35609,37270,Monyo,MMR008013
 Child under 10 years,1450,20168,21618,Monyo,MMR008013
 Total,9457,118113,127570,Monyo,MMR008013
