Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),133760,101193,234953,Monywa,MMR005012
 Associate Scrutiny Card (blue),86,56,142,Monywa,MMR005012
 Naturalised Scrutiny Card (green),238,260,498,Monywa,MMR005012
 National Registration Card (3-fold),1212,1978,3190,Monywa,MMR005012
 Religious card,3394,933,4327,Monywa,MMR005012
 Temporary Registration Card (white),131,89,220,Monywa,MMR005012
 Foreign Registration Card (FRC),15,3,18,Monywa,MMR005012
 Foreign Passport,74,20,94,Monywa,MMR005012
 None,39482,35154,74636,Monywa,MMR005012
 Child under 10 years,29097,24920,54017,Monywa,MMR005012
 Total,207489,164606,372095,Monywa,MMR005012
