Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),21018,68522,89540,Myauk U,MMR012003
 Associate Scrutiny Card (blue),11,30,41,Myauk U,MMR012003
 Naturalised Scrutiny Card (green),16,30,46,Myauk U,MMR012003
 National Registration Card (3-fold),31,299,330,Myauk U,MMR012003
 Religious card,361,477,838,Myauk U,MMR012003
 Temporary Registration Card (white),52,264,316,Myauk U,MMR012003
 Foreign Registration Card (FRC),-,2,2,Myauk U,MMR012003
 Foreign Passport,30,39,69,Myauk U,MMR012003
 None,8328,52289,60617,Myauk U,MMR012003
 Child under 10 years,6292,31539,37831,Myauk U,MMR012003
 Total,36139,153491,189630,Myauk U,MMR012003
