Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),5591,62932,68523,Myaung,MMR005003
 Associate Scrutiny Card (blue),-,27,27,Myaung,MMR005003
 Naturalised Scrutiny Card (green),3,131,134,Myaung,MMR005003
 National Registration Card (3-fold),53,1148,1201,Myaung,MMR005003
 Religious card,50,453,503,Myaung,MMR005003
 Temporary Registration Card (white),2,40,42,Myaung,MMR005003
 Foreign Registration Card (FRC),-,3,3,Myaung,MMR005003
 Foreign Passport,-,25,25,Myaung,MMR005003
 None,987,18878,19865,Myaung,MMR005003
 Child under 10 years,1109,14979,16088,Myaung,MMR005003
 Total,7795,98616,106411,Myaung,MMR005003
