Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),36086,120586,156672,Myaungmya,MMR017014
 Associate Scrutiny Card (blue),116,73,189,Myaungmya,MMR017014
 Naturalised Scrutiny Card (green),154,213,367,Myaungmya,MMR017014
 National Registration Card (3-fold),308,721,1029,Myaungmya,MMR017014
 Religious card,433,590,1023,Myaungmya,MMR017014
 Temporary Registration Card (white),34,157,191,Myaungmya,MMR017014
 Foreign Registration Card (FRC),88,5,93,Myaungmya,MMR017014
 Foreign Passport,13,36,49,Myaungmya,MMR017014
 None,12575,67914,80489,Myaungmya,MMR017014
 Child under 10 years,8891,49644,58535,Myaungmya,MMR017014
 Total,58698,239939,298637,Myaungmya,MMR017014
