Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),5367,49502,54869,Myebon,MMR012006
 Associate Scrutiny Card (blue),1,33,34,Myebon,MMR012006
 Naturalised Scrutiny Card (green),22,106,128,Myebon,MMR012006
 National Registration Card (3-fold),90,275,365,Myebon,MMR012006
 Religious card,54,235,289,Myebon,MMR012006
 Temporary Registration Card (white),667,298,965,Myebon,MMR012006
 Foreign Registration Card (FRC),-,1,1,Myebon,MMR012006
 Foreign Passport,2,31,33,Myebon,MMR012006
 None,2944,46614,49558,Myebon,MMR012006
 Child under 10 years,2419,28532,30951,Myebon,MMR012006
 Total,11566,125627,137193,Myebon,MMR012006
