Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),1815,9064,10879,Myitta(ST),MMR006001
 Associate Scrutiny Card (blue),-,22,22,Myitta(ST),MMR006001
 Naturalised Scrutiny Card (green),3,46,49,Myitta(ST),MMR006001
 National Registration Card (3-fold),24,423,447,Myitta(ST),MMR006001
 Religious card,6,30,36,Myitta(ST),MMR006001
 Temporary Registration Card (white),23,34,57,Myitta(ST),MMR006001
 Foreign Registration Card (FRC),22,13,35,Myitta(ST),MMR006001
 Foreign Passport,1,24,25,Myitta(ST),MMR006001
 None,597,3700,4297,Myitta(ST),MMR006001
 Child under 10 years,851,4661,5512,Myitta(ST),MMR006001
 Total,3342,18017,21359,Myitta(ST),MMR006001
