Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),3530,41702,45232,Naungtayar(ST),MMR014009
 Associate Scrutiny Card (blue),1,26,27,Naungtayar(ST),MMR014009
 Naturalised Scrutiny Card (green),-,88,88,Naungtayar(ST),MMR014009
 National Registration Card (3-fold),20,421,441,Naungtayar(ST),MMR014009
 Religious card,24,251,275,Naungtayar(ST),MMR014009
 Temporary Registration Card (white),-,56,56,Naungtayar(ST),MMR014009
 Foreign Passport,2,12,14,Naungtayar(ST),MMR014009
 None,443,14533,14976,Naungtayar(ST),MMR014009
 Child under 10 years,841,15260,16101,Naungtayar(ST),MMR014009
 Total,4861,72349,77210,Naungtayar(ST),MMR014009
