Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),11718,39707,51425,Ngathaingchaung(ST),MMR017006
 Associate Scrutiny Card (blue),35,27,62,Ngathaingchaung(ST),MMR017006
 Naturalised Scrutiny Card (green),37,58,95,Ngathaingchaung(ST),MMR017006
 National Registration Card (3-fold),133,574,707,Ngathaingchaung(ST),MMR017006
 Religious card,125,193,318,Ngathaingchaung(ST),MMR017006
 Temporary Registration Card (white),17,216,233,Ngathaingchaung(ST),MMR017006
 Foreign Registration Card (FRC),4,-,4,Ngathaingchaung(ST),MMR017006
 Foreign Passport,1,10,11,Ngathaingchaung(ST),MMR017006
 None,3559,16632,20191,Ngathaingchaung(ST),MMR017006
 Child under 10 years,3114,12870,15984,Ngathaingchaung(ST),MMR017006
 Total,18743,70287,89030,Ngathaingchaung(ST),MMR017006
