Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),9367,16741,26108,Ngwehsaung(ST),MMR017001
 Associate Scrutiny Card (blue),14,9,23,Ngwehsaung(ST),MMR017001
 Naturalised Scrutiny Card (green),34,25,59,Ngwehsaung(ST),MMR017001
 National Registration Card (3-fold),39,123,162,Ngwehsaung(ST),MMR017001
 Religious card,18,43,61,Ngwehsaung(ST),MMR017001
 Temporary Registration Card (white),16,13,29,Ngwehsaung(ST),MMR017001
 Foreign Registration Card (FRC),10,1,11,Ngwehsaung(ST),MMR017001
 Foreign Passport,230,-,230,Ngwehsaung(ST),MMR017001
 None,2618,6346,8964,Ngwehsaung(ST),MMR017001
 Child under 10 years,2143,6586,8729,Ngwehsaung(ST),MMR017001
 Total,14489,29887,44376,Ngwehsaung(ST),MMR017001
