Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),9056,77494,86550,Oatwin,MMR007013
 Associate Scrutiny Card (blue),8,64,72,Oatwin,MMR007013
 Naturalised Scrutiny Card (green),16,1088,1104,Oatwin,MMR007013
 National Registration Card (3-fold),56,922,978,Oatwin,MMR007013
 Religious card,137,480,617,Oatwin,MMR007013
 Temporary Registration Card (white),16,175,191,Oatwin,MMR007013
 Foreign Registration Card (FRC),1,1,2,Oatwin,MMR007013
 Foreign Passport,-,39,39,Oatwin,MMR007013
 None,2281,35596,37877,Oatwin,MMR007013
 Child under 10 years,2572,29826,32398,Oatwin,MMR007013
 Total,14143,145685,159828,Oatwin,MMR007013
