Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),12322,85199,97521,Padaung,MMR008003
 Associate Scrutiny Card (blue),4,14,18,Padaung,MMR008003
 Naturalised Scrutiny Card (green),44,182,226,Padaung,MMR008003
 National Registration Card (3-fold),40,402,442,Padaung,MMR008003
 Religious card,115,522,637,Padaung,MMR008003
 Temporary Registration Card (white),43,179,222,Padaung,MMR008003
 Foreign Passport,1,11,12,Padaung,MMR008003
 None,2534,21470,24004,Padaung,MMR008003
 Child under 10 years,2575,18557,21132,Padaung,MMR008003
 Total,17678,126536,144214,Padaung,MMR008003
