Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),2221,28165,30386,Paingkyon(ST),MMR003002
 Associate Scrutiny Card (blue),1,18,19,Paingkyon(ST),MMR003002
 Naturalised Scrutiny Card (green),1,48,49,Paingkyon(ST),MMR003002
 National Registration Card (3-fold),43,555,598,Paingkyon(ST),MMR003002
 Religious card,25,243,268,Paingkyon(ST),MMR003002
 Temporary Registration Card (white),2,127,129,Paingkyon(ST),MMR003002
 Foreign Registration Card (FRC),-,2,2,Paingkyon(ST),MMR003002
 Foreign Passport,-,15,15,Paingkyon(ST),MMR003002
 None,805,33637,34442,Paingkyon(ST),MMR003002
 Child under 10 years,976,21720,22696,Paingkyon(ST),MMR003002
 Total,4074,84530,88604,Paingkyon(ST),MMR003002
