Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),726,2649,3375,Panwa(ST),MMR001005
 Naturalised Scrutiny Card (green),2,4,6,Panwa(ST),MMR001005
 National Registration Card (3-fold),-,27,27,Panwa(ST),MMR001005
 Religious card,2,-,2,Panwa(ST),MMR001005
 Temporary Registration Card (white),1,9,10,Panwa(ST),MMR001005
 Foreign Registration Card (FRC),40,19,59,Panwa(ST),MMR001005
 Foreign Passport,10,18,28,Panwa(ST),MMR001005
 None,218,2699,2917,Panwa(ST),MMR001005
 Child under 10 years,224,2088,2312,Panwa(ST),MMR001005
 Total,1223,7513,8736,Panwa(ST),MMR001005
