Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),5410,98225,103635,Pauk,MMR009021
 Associate Scrutiny Card (blue),2,13,15,Pauk,MMR009021
 Naturalised Scrutiny Card (green),4,67,71,Pauk,MMR009021
 National Registration Card (3-fold),-,176,176,Pauk,MMR009021
 Religious card,62,457,519,Pauk,MMR009021
 Temporary Registration Card (white),2,216,218,Pauk,MMR009021
 Foreign Registration Card (FRC),2,2,4,Pauk,MMR009021
 Foreign Passport,-,34,34,Pauk,MMR009021
 None,658,30160,30818,Pauk,MMR009021
 Child under 10 years,1146,34878,36024,Pauk,MMR009021
 Total,7286,164228,171514,Pauk,MMR009021
