Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),7417,47952,55369,Pauktaw,MMR012007
 Associate Scrutiny Card (blue),2,53,55,Pauktaw,MMR012007
 Naturalised Scrutiny Card (green),5,86,91,Pauktaw,MMR012007
 National Registration Card (3-fold),8,266,274,Pauktaw,MMR012007
 Religious card,56,350,406,Pauktaw,MMR012007
 Temporary Registration Card (white),5,123,128,Pauktaw,MMR012007
 Foreign Passport,2,43,45,Pauktaw,MMR012007
 None,2977,56202,59179,Pauktaw,MMR012007
 Child under 10 years,2242,28168,30410,Pauktaw,MMR012007
 Total,12714,133243,145957,Pauktaw,MMR012007
