Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),6402,56884,63286,Phaungpyin,MMR005032
 Associate Scrutiny Card (blue),9,15,24,Phaungpyin,MMR005032
 Naturalised Scrutiny Card (green),7,33,40,Phaungpyin,MMR005032
 National Registration Card (3-fold),19,237,256,Phaungpyin,MMR005032
 Religious card,47,382,429,Phaungpyin,MMR005032
 Temporary Registration Card (white),5,341,346,Phaungpyin,MMR005032
 Foreign Passport,-,23,23,Phaungpyin,MMR005032
 None,1530,19491,21021,Phaungpyin,MMR005032
 Child under 10 years,2030,25239,27269,Phaungpyin,MMR005032
 Total,10049,102645,112694,Phaungpyin,MMR005032
