Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),36328,89939,126267,Pyu,MMR007012
 Associate Scrutiny Card (blue),117,125,242,Pyu,MMR007012
 Naturalised Scrutiny Card (green),1540,7124,8664,Pyu,MMR007012
 National Registration Card (3-fold),900,1622,2522,Pyu,MMR007012
 Religious card,302,563,865,Pyu,MMR007012
 Temporary Registration Card (white),615,966,1581,Pyu,MMR007012
 Foreign Registration Card (FRC),15,13,28,Pyu,MMR007012
 Foreign Passport,32,49,81,Pyu,MMR007012
 None,12835,51403,64238,Pyu,MMR007012
 Child under 10 years,11196,41589,52785,Pyu,MMR007012
 Total,63880,193393,257273,Pyu,MMR007012
