Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),1351,5861,7212,Reazu(ST),MMR004007
 Associate Scrutiny Card (blue),-,5,5,Reazu(ST),MMR004007
 Naturalised Scrutiny Card (green),-,11,11,Reazu(ST),MMR004007
 National Registration Card (3-fold),-,9,9,Reazu(ST),MMR004007
 Religious card,1,2,3,Reazu(ST),MMR004007
 Temporary Registration Card (white),-,6,6,Reazu(ST),MMR004007
 Foreign Passport,5,-,5,Reazu(ST),MMR004007
 None,260,1344,1604,Reazu(ST),MMR004007
 Child under 10 years,612,2798,3410,Reazu(ST),MMR004007
 Total,2229,10036,12265,Reazu(ST),MMR004007
