Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),8630,123064,131694,Salin,MMR009010
 Associate Scrutiny Card (blue),5,59,64,Salin,MMR009010
 Naturalised Scrutiny Card (green),36,376,412,Salin,MMR009010
 National Registration Card (3-fold),189,4501,4690,Salin,MMR009010
 Religious card,162,816,978,Salin,MMR009010
 Temporary Registration Card (white),4,328,332,Salin,MMR009010
 Foreign Registration Card (FRC),1,12,13,Salin,MMR009010
 Foreign Passport,-,58,58,Salin,MMR009010
 None,1577,55355,56932,Salin,MMR009010
 Child under 10 years,1554,39306,40860,Salin,MMR009010
 Total,12158,223875,236033,Salin,MMR009010
