Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),39022,63802,102824,Tachileik,MMR016009
 Associate Scrutiny Card (blue),91,25,116,Tachileik,MMR016009
 Naturalised Scrutiny Card (green),119,64,183,Tachileik,MMR016009
 National Registration Card (3-fold),276,321,597,Tachileik,MMR016009
 Religious card,180,374,554,Tachileik,MMR016009
 Temporary Registration Card (white),141,610,751,Tachileik,MMR016009
 Foreign Registration Card (FRC),33,4,37,Tachileik,MMR016009
 Foreign Passport,190,53,243,Tachileik,MMR016009
 None,3497,12659,16156,Tachileik,MMR016009
 Child under 10 years,8004,18556,26560,Tachileik,MMR016009
 Total,51553,96468,148021,Tachileik,MMR016009
