Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),22438,55843,78281,Tharyarwaddy,MMR008007
 Associate Scrutiny Card (blue),87,36,123,Tharyarwaddy,MMR008007
 Naturalised Scrutiny Card (green),294,308,602,Tharyarwaddy,MMR008007
 National Registration Card (3-fold),346,1146,1492,Tharyarwaddy,MMR008007
 Religious card,190,356,546,Tharyarwaddy,MMR008007
 Temporary Registration Card (white),56,174,230,Tharyarwaddy,MMR008007
 Foreign Registration Card (FRC),53,8,61,Tharyarwaddy,MMR008007
 Foreign Passport,10,9,19,Tharyarwaddy,MMR008007
 None,6925,34988,41913,Tharyarwaddy,MMR008007
 Child under 10 years,5416,22421,27837,Tharyarwaddy,MMR008007
 Total,35815,115289,151104,Tharyarwaddy,MMR008007
