Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),14468,105979,120447,Thazi,MMR010030
 Associate Scrutiny Card (blue),7,81,88,Thazi,MMR010030
 Naturalised Scrutiny Card (green),45,217,262,Thazi,MMR010030
 National Registration Card (3-fold),223,1509,1732,Thazi,MMR010030
 Religious card,91,935,1026,Thazi,MMR010030
 Temporary Registration Card (white),91,408,499,Thazi,MMR010030
 Foreign Registration Card (FRC),21,5,26,Thazi,MMR010030
 Foreign Passport,6,73,79,Thazi,MMR010030
 None,2598,37509,40107,Thazi,MMR010030
 Child under 10 years,3011,35403,38414,Thazi,MMR010030
 Total,20561,182119,202680,Thazi,MMR010030
