Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),19472,44718,64190,Toungup,MMR012016
 Associate Scrutiny Card (blue),4,33,37,Toungup,MMR012016
 Naturalised Scrutiny Card (green),22,44,66,Toungup,MMR012016
 National Registration Card (3-fold),57,272,329,Toungup,MMR012016
 Religious card,115,208,323,Toungup,MMR012016
 Temporary Registration Card (white),39,395,434,Toungup,MMR012016
 Foreign Registration Card (FRC),18,1,19,Toungup,MMR012016
 Foreign Passport,6,15,21,Toungup,MMR012016
 None,4626,23858,28484,Toungup,MMR012016
 Child under 10 years,4293,16241,20534,Toungup,MMR012016
 Total,28652,85785,114437,Toungup,MMR012016
