Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),25527,97427,122954,Twantay,MMR013027
 Associate Scrutiny Card (blue),19,43,62,Twantay,MMR013027
 Naturalised Scrutiny Card (green),195,397,592,Twantay,MMR013027
 National Registration Card (3-fold),501,2032,2533,Twantay,MMR013027
 Religious card,600,933,1533,Twantay,MMR013027
 Temporary Registration Card (white),62,454,516,Twantay,MMR013027
 Foreign Registration Card (FRC),13,-,13,Twantay,MMR013027
 Foreign Passport,16,30,46,Twantay,MMR013027
 None,8901,46537,55438,Twantay,MMR013027
 Child under 10 years,7258,35891,43149,Twantay,MMR013027
 Total,43092,183744,226836,Twantay,MMR013027
