Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),14123,137286,151409,Wakema,MMR017017
 Associate Scrutiny Card (blue),25,80,105,Wakema,MMR017017
 Naturalised Scrutiny Card (green),35,379,414,Wakema,MMR017017
 National Registration Card (3-fold),238,3453,3691,Wakema,MMR017017
 Religious card,196,710,906,Wakema,MMR017017
 Temporary Registration Card (white),15,174,189,Wakema,MMR017017
 Foreign Registration Card (FRC),3,10,13,Wakema,MMR017017
 Foreign Passport,-,54,54,Wakema,MMR017017
 None,4170,70936,75106,Wakema,MMR017017
 Child under 10 years,3376,53843,57219,Wakema,MMR017017
 Total,22181,266925,289106,Wakema,MMR017017
