Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),20541,121914,142455,Wundwin,MMR010031
 Associate Scrutiny Card (blue),14,46,60,Wundwin,MMR010031
 Naturalised Scrutiny Card (green),42,717,759,Wundwin,MMR010031
 National Registration Card (3-fold),203,3225,3428,Wundwin,MMR010031
 Religious card,203,779,982,Wundwin,MMR010031
 Temporary Registration Card (white),92,241,333,Wundwin,MMR010031
 Foreign Registration Card (FRC),1,3,4,Wundwin,MMR010031
 Foreign Passport,8,22,30,Wundwin,MMR010031
 None,6366,39367,45733,Wundwin,MMR010031
 Child under 10 years,5088,30888,35976,Wundwin,MMR010031
 Total,32558,197202,229760,Wundwin,MMR010031
