Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),17896,134980,152876,Yame`thin,MMR010023
 Associate Scrutiny Card (blue),19,114,133,Yame`thin,MMR010023
 Naturalised Scrutiny Card (green),29,735,764,Yame`thin,MMR010023
 National Registration Card (3-fold),268,2721,2989,Yame`thin,MMR010023
 Religious card,179,845,1024,Yame`thin,MMR010023
 Temporary Registration Card (white),110,539,649,Yame`thin,MMR010023
 Foreign Registration Card (FRC),8,12,20,Yame`thin,MMR010023
 Foreign Passport,6,86,92,Yame`thin,MMR010023
 None,5193,51180,56373,Yame`thin,MMR010023
 Child under 10 years,3990,39181,43171,Yame`thin,MMR010023
 Total,27698,230393,258091,Yame`thin,MMR010023
