Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),3303,49668,52971,Yebyu,MMR006004
 Associate Scrutiny Card (blue),-,96,96,Yebyu,MMR006004
 Naturalised Scrutiny Card (green),5,119,124,Yebyu,MMR006004
 National Registration Card (3-fold),21,1791,1812,Yebyu,MMR006004
 Religious card,17,304,321,Yebyu,MMR006004
 Temporary Registration Card (white),45,220,265,Yebyu,MMR006004
 Foreign Registration Card (FRC),-,8,8,Yebyu,MMR006004
 Foreign Passport,1,424,425,Yebyu,MMR006004
 None,525,22362,22887,Yebyu,MMR006004
 Child under 10 years,827,21032,21859,Yebyu,MMR006004
 Total,4744,96024,100768,Yebyu,MMR006004
