Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),10121,30280,40401,Zigon,MMR008011
 Associate Scrutiny Card (blue),29,11,40,Zigon,MMR008011
 Naturalised Scrutiny Card (green),36,87,123,Zigon,MMR008011
 National Registration Card (3-fold),42,258,300,Zigon,MMR008011
 Religious card,81,168,249,Zigon,MMR008011
 Temporary Registration Card (white),43,84,127,Zigon,MMR008011
 Foreign Registration Card (FRC),12,1,13,Zigon,MMR008011
 Foreign Passport,7,7,14,Zigon,MMR008011
 None,2722,13752,16474,Zigon,MMR008011
 Child under 10 years,2140,7642,9782,Zigon,MMR008011
 Total,15233,52290,67523,Zigon,MMR008011
