Type_residence,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Condominium/Apartment/Flat,212,19,231,Dekkhinathiri,MMR018004
 Bungalow/Brick house,145,109,254,Dekkhinathiri,MMR018004
 Semi-pacca house,46,201,247,Dekkhinathiri,MMR018004
 Wooden house,292,3422,3714,Dekkhinathiri,MMR018004
 Bamboo,146,2230,2376,Dekkhinathiri,MMR018004
 Hut 2 - 3 years,9,75,84,Dekkhinathiri,MMR018004
 Hut 1 year,24,19,43,Dekkhinathiri,MMR018004
 Other,34,14,48,Dekkhinathiri,MMR018004
 Total,908,6089,6997,Dekkhinathiri,MMR018004
 Condominium/Apartment/Flat,376874,111611,488485,Dekkhinathiri,MMR018004
 Bungalow/Brick house,405629,332594,738223,Dekkhinathiri,MMR018004
 Semi-pacca house,335333,375742,711075,Dekkhinathiri,MMR018004
 Wooden house,1141465,3340919,4482384,Dekkhinathiri,MMR018004
 Bamboo,720166,3344690,4064856,Dekkhinathiri,MMR018004
 Hut 2 - 3 years,25678,181095,206773,Dekkhinathiri,MMR018004
 Hut 1 year,15076,81263,96339,Dekkhinathiri,MMR018004
 Other,29212,60485,89697,Dekkhinathiri,MMR018004
 Total,3049433,7828399,10877832,Dekkhinathiri,MMR018004
